ph,raw_charge_diff,net_charge
7.07,5.380836900000001e-06,-1.6452745463917529
7.08,5.33333725e-06,-1.6501714175257733
7.09,5.2858366e-06,-1.6550683917525775
7.1,5.23833695e-06,-1.6599652628865982
7.11,5.1908362999999995e-06,-1.6648622371134023
7.12,5.14333565e-06,-1.6697592113402064
7.13,5.045836e-06,-1.6798107216494849
7.13,5.095836e-06,-1.6746560824742271
7.14,4.9983368e-06,-1.6847075463917527
7.15,4.9508376e-06,-1.689604371134021
7.16,4.9033384e-06,-1.6945011958762888
7.17,4.8558392e-06,-1.699398020618557
7.18,4.75834e-06,-1.7094494845360826
7.18,4.80834e-06,-1.7042948453608249
7.2,4.6633406e-06,-1.7192432371134023
7.2,4.7133406e-06,-1.7140885979381446
7.21,4.6158404e-06,-1.7241401649484538
7.22,4.5683412e-06,-1.7290369896907218
7.23,4.520841e-06,-1.7339339175257735
7.24,4.4733408e-06,-1.738830845360825
7.25,4.4258406e-06,-1.7437277731958765
7.26,4.3783404e-06,-1.748624701030928
7.27,4.3308402e-06,-1.7535216288659796
7.28,4.283339e-06,-1.7584186597938145
7.29,4.2358388e-06,-1.7633155876288662
7.31,4.1908364e-06,-1.7679550103092785
7.32,4.1433351999999996e-06,-1.7728520412371136
7.33,4.095834e-06,-1.7777490721649487
7.34,4.047919791666667e-06,-1.7826886812714777
7.35,4.000005583333333e-06,-1.7876282903780072
7.36,3.952091375e-06,-1.7925678994845362
7.37,3.904177166666667e-06,-1.7975075085910655
7.38,3.856262958333333e-06,-1.8024471176975947
7.39,3.80834775e-06,-1.8073868298969074
7.41,3.7625173333333334e-06,-1.812111615120275
7.42,3.714602125e-06,-1.8170513273195879
7.43,3.6666859166666667e-06,-1.821991142611684
7.44,3.618769708333333e-06,-1.8269309579037802
7.46,3.5729372916666666e-06,-1.831655949312715
7.47,3.525020083333333e-06,-1.8365958676975946
7.48,3.477102875e-06,-1.8415357860824744
7.5,3.4312664583333335e-06,-1.8462611898625432
7.51,3.38334825e-06,-1.8512012113402063
