# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
53.00 -0.0290 -6.2506e-2 8.3170e-2 2.9388e-2
53.10 -0.0276 -5.9488e-2 7.8939e-2 2.8014e-2
53.20 -0.0263 -5.6508e-2 7.4741e-2 2.6651e-2
53.30 -0.0250 -5.3602e-2 7.0667e-2 2.5310e-2
53.40 -0.0237 -5.0800e-2 6.6791e-2 2.4000e-2
53.50 -0.0225 -4.8122e-2 6.3164e-2 2.2722e-2
53.60 -0.0212 -4.5576e-2 5.9824e-2 2.1473e-2
53.70 -0.0200 -4.3148e-2 5.6776e-2 2.0245e-2
53.80 -0.0189 -4.0805e-2 5.3967e-2 1.9029e-2
53.90 -0.0177 -3.8513e-2 5.1308e-2 1.7816e-2
54.00 -0.0165 -3.6247e-2 4.8715e-2 1.6605e-2
54.10 -0.0153 -3.3996e-2 4.6139e-2 1.5397e-2
54.20 -0.0141 -3.1758e-2 4.3559e-2 1.4199e-2
54.30 -0.0129 -2.9542e-2 4.0976e-2 1.3020e-2
54.40 -0.0118 -2.7370e-2 3.8416e-2 1.1874e-2
54.50 -0.0107 -2.5268e-2 3.5920e-2 1.0770e-2
54.60 -0.0097 -2.3256e-2 3.3527e-2 9.7171e-3
54.70 -0.0087 -2.1345e-2 3.1261e-2 8.7167e-3
54.80 -0.0077 -1.9539e-2 2.9131e-2 7.7693e-3
54.90 -0.0068 -1.7841e-2 2.7142e-2 6.8735e-3
55.00 -0.0060 -1.6246e-2 2.5297e-2 6.0266e-3
55.10 -0.0052 -1.4751e-2 2.3595e-2 5.2256e-3
55.20 -0.0045 -1.3348e-2 2.2035e-2 4.4666e-3
55.30 -0.0037 -1.2028e-2 2.0612e-2 3.7458e-3
55.40 -0.0031 -1.0779e-2 1.9301e-2 3.0603e-3
55.50 -0.0024 -9.5924e-3 1.8067e-2 2.4084e-3
55.60 -0.0018 -8.4663e-3 1.6884e-2 1.7892e-3
55.70 -0.0012 -7.4032e-3 1.5753e-2 1.1999e-3
55.80 -0.0006 -6.4002e-3 1.4687e-2 6.3566e-4
55.90 -0.0001 -5.4479e-3 1.3685e-2 9.0451e-5
56.00 0.0004 -4.5350e-3 1.2732e-2 -4.4087e-4
56.10 0.0010 -3.6526e-3 1.1809e-2 -9.6214e-4
56.20 0.0015 -2.7958e-3 1.0912e-2 -1.4753e-3
56.30 0.0020 -1.9623e-3 1.0043e-2 -1.9807e-3
56.40 0.0025 -1.1522e-3 9.2078e-3 -2.4769e-3
56.50 0.0030 -3.6695e-4 8.4090e-3 -2.9619e-3
56.60 0.0034 3.9008e-4 7.6493e-3 -3.4328e-3
56.70 0.0039 1.1150e-3 6.9317e-3 -3.8869e-3
56.80 0.0043 1.8041e-3 6.2605e-3 -4.3221e-3
56.90 0.0047 2.4542e-3 5.6389e-3 -4.7364e-3
57.00 0.0051 3.0635e-3 5.0686e-3 -5.1286e-3
57.10 0.0055 3.6316e-3 4.5492e-3 -5.4982e-3
57.20 0.0059 4.1591e-3 4.0791e-3 -5.8451e-3
57.30 0.0062 4.6471e-3 3.6559e-3 -6.1694e-3
57.40 0.0065 5.0973e-3 3.2763e-3 -6.4713e-3
57.50 0.0068 5.5114e-3 2.9369e-3 -6.7514e-3
57.60 0.0070 5.8910e-3 2.6339e-3 -7.0101e-3
57.70 0.0073 6.2380e-3 2.3637e-3 -7.2479e-3
57.80 0.0075 6.5540e-3 2.1232e-3 -7.4656e-3
57.90 0.0077 6.8408e-3 1.9094e-3 -7.6639e-3
58.00 0.0079 7.0999e-3 1.7196e-3 -7.8436e-3
58.10 0.0080 7.3331e-3 1.5513e-3 -8.0056e-3
58.20 0.0082 7.5419e-3 1.4024e-3 -8.1507e-3
58.30 0.0083 7.7281e-3 1.2705e-3 -8.2799e-3
58.40 0.0084 7.8933e-3 1.1539e-3 -8.3941e-3
58.50 0.0085 8.0390e-3 1.0505e-3 -8.4943e-3
58.60 0.0086 8.1667e-3 9.5895e-4 -8.5814e-3
58.70 0.0087 8.2780e-3 8.7763e-4 -8.6562e-3
58.80 0.0088 8.3741e-3 8.0534e-4 -8.7196e-3
58.90 0.0088 8.4562e-3 7.4096e-4 -8.7724e-3
59.00 0.0089 8.5254e-3 6.8353e-4 -8.8153e-3
59.10 0.0089 8.5827e-3 6.3221e-4 -8.8490e-3
59.20 0.0089 8.6291e-3 5.8626e-4 -8.8741e-3
59.30 0.0089 8.6654e-3 5.4503e-4 -8.8913e-3
59.40 0.0089 8.6924e-3 5.0797e-4 -8.9010e-3
59.50 0.0089 8.7108e-3 4.7458e-4 -8.9038e-3
59.60 0.0089 8.7213e-3 4.4444e-4 -8.9002e-3
59.70 0.0089 8.7246e-3 4.1717e-4 -8.8907e-3
59.80 0.0089 8.7210e-3 3.9245e-4 -8.8756e-3
59.90 0.0089 8.7113e-3 3.6999e-4 -8.8554e-3
60.00 0.0089 8.6959e-3 3.4953e-4 -8.8304e-3
60.10 0.0088 8.6752e-3 3.3086e-4 -8.8009e-3
60.20 0.0088 8.6496e-3 3.1379e-4 -8.7674e-3
60.30 0.0088 8.6195e-3 2.9813e-4 -8.7301e-3
60.40 0.0087 8.5853e-3 2.8374e-4 -8.6892e-3
60.50 0.0087 8.5473e-3 2.7049e-4 -8.6451e-3
60.60 0.0086 8.5058e-3 2.5825e-4 -8.5980e-3
60.70 0.0086 8.4611e-3 2.4693e-4 -8.5482e-3
60.80 0.0085 8.4134e-3 2.3643e-4 -8.4958e-3
60.90 0.0085 8.3630e-3 2.2668e-4 -8.4411e-3
61.00 0.0084 8.3102e-3 2.1759e-4 -8.3842e-3
61.10 0.0084 8.2550e-3 2.0910e-4 -8.3254e-3
61.20 0.0083 8.1978e-3 2.0117e-4 -8.2647e-3
61.30 0.0082 8.1388e-3 1.9373e-4 -8.2025e-3
61.40 0.0082 8.0780e-3 1.8674e-4 -8.1387e-3
61.50 0.0081 8.0156e-3 1.8016e-4 -8.0736e-3
61.60 0.0080 7.9519e-3 1.7395e-4 -8.0073e-3
61.70 0.0080 7.8869e-3 1.6809e-4 -7.9399e-3
61.80 0.0079 7.8208e-3 1.6253e-4 -7.8716e-3
61.90 0.0078 7.7537e-3 1.5726e-4 -7.8023e-3
62.00 0.0078 7.6856e-3 1.5226e-4 -7.7323e-3
62.10 0.0077 7.6168e-3 1.4749e-4 -7.6617e-3
62.20 0.0076 7.5473e-3 1.4295e-4 -7.5904e-3
62.30 0.0075 7.4772e-3 1.3861e-4 -7.5187e-3
62.40 0.0075 7.4066e-3 1.3447e-4 -7.4465e-3
62.50 0.0074 7.3356e-3 1.3050e-4 -7.3741e-3
62.60 0.0073 7.2642e-3 1.2669e-4 -7.3013e-3
62.70 0.0073 7.1926e-3 1.2304e-4 -7.2284e-3
62.80 0.0072 7.1207e-3 1.1953e-4 -7.1553e-3
62.90 0.0071 7.0487e-3 1.1615e-4 -7.0821e-3
63.00 0.0070 6.9766e-3 1.1290e-4 -7.0089e-3
63.10 0.0070 6.9045e-3 1.0976e-4 -6.9357e-3
63.20 0.0069 6.8325e-3 1.0674e-4 -6.8626e-3
63.30 0.0068 6.7605e-3 1.0382e-4 -6.7897e-3
63.40 0.0067 6.6886e-3 1.0099e-4 -6.7168e-3
63.50 0.0067 6.6169e-3 9.8261e-5 -6.6442e-3
63.60 0.0066 6.5454e-3 9.5618e-5 -6.5719e-3
63.70 0.0065 6.4741e-3 9.3058e-5 -6.4997e-3
